oldPCode;PName1;PName2;PName3;PName4;TypeCode;Type;Source;checked;longitude;latitude;REGION_PCO;REGION_NOM;PREF_PCODE;PREF_NOM;SPREF_PCOD;SPREF_NOM;COM_PCODE;COM_NOM;Village_PC;Status;CLASS;DESCRIPTIO;CNTRY_NAME;ADM1_NAME;ADM2_NAME;ADM3_NAME;RowcaCode1;RowcaCode2;RowcaCode3;RowcaCode4
NM4;Abba;Abba-Centre;0,000000;0,000000;2,000000;Chef lieu de Sous PrÚfecture;SIGCAF;ok;15,179901;5,325090;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410001;0,000000;3,000000;Capital of Sub-prefecture;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010001
SIGCAF1581;Abbo Bogaki;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,310861;5,370185;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410002;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010002
SIGCAF1566;Abbo Bougrma;Abba Bougrima;0,000000;0,000000;3,000000;Village;SIGCAF;ok;14,939763;5,477976;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410003;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010003
SIGCAF1547;Babaza 1;Aiba-Bangbassa;0,000000;0,000000;3,000000;Village;SIGCAF;ok;14,933058;5,165305;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410004;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010004
SIGCAF1553;Bondjo-Kombo;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,079951;5,189012;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410005;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010005
SIGCAF1556;Boun;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,166736;5,290846;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410006;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010006
SIGCAF1558;Camp-Dolliac;Camp Dullac;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,112061;5,349865;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410007;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010007
SIGCAF1578;Gbading;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,241263;5,403474;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410008;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010008
SIGCAF1559;Gbagaza;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,096651;5,376155;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410009;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010009
SIGCAF1546;Gboula;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;14,870005;5,174044;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410010;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010010
SIGCAF1571;Gobolo;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,188825;5,431493;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410011;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010011
SIGCAF1548;Kamana;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;14,930544;5,174396;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410012;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010012
SIGCAF1577;Koe;Koe;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,183228;5,530190;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410013;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010013
SIGCAF1544;Kpetene;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,047933;5,093845;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410014;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010014
SIGCAF1560;Kpetene;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,077757;5,395067;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410015;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010015
SIGCAF1550;Lago-Gbaninga;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;14,956615;5,194865;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410016;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010016
SIGCAF1552;Lamy-Pong;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,037181;5,189874;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410017;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010017
SIGCAF1561;Marigot;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,074146;5,400072;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410018;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010018
SIGCAF1580;Mere-Bodetoro;Mere Boudoytoro;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,305889;5,378333;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410019;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010019
SIGCAF1570;Merre 2;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,215623;5,401183;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410020;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010020
SIGCAF1551;Nagbagbo;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,015582;5,217143;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410021;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010021
SIGCAF1573;Ndiba 2;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,183885;5,476420;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410022;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010022
SIGCAF1575;Ndiba 4;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,189580;5,493628;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410023;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010023
SIGCAF1574;Ndiba Haoussa;;0,000000;0,000000;3,000000;Village;SIGCAF;ok;15,185574;5,490305;2,000000;Equateur;22,000000;Nana-Mambere;224,000000;Abba;2241,000000;Abba;22410024;0,000000;0,000000;Village;CAF;Nana-Mambere;Abba;Abba;CAF022;CAF022004;CAF022004001;CAF0220040010024
